-91.5532,49.2423,-143.1204,32.3505,1.9884,-75.7308,-9.5949,31.0768,30.7307,+
-24.6665,35.4257,-11.9443,49.1678,9.6385,-25.0264,-20.6512,73.3021,29.7888,+
6.9547,6.9444,-4.9591,25.0893,-5.3563,-25.3117,-5.1525,17.8955,42.5581,+
77.7052,67.8127,-62.0757,-82.3524,-32.5898,-43.1258,-0.078285,56.956,35.2724,+
-62.5298,74.5004,-0.30691,-14.3917,-26.6216,-39.2545,35.888,56.6045,54.8174,+
-61.6417,53.9472,-27.4201,-24.114,-1.0594,-68.5785,-14.4366,27.0532,9.9521,+
14.9057,30.0254,17.9133,41.4851,-14.0718,-79.0249,-15.6519,42.8963,29.3937,+
93.2934,37.2124,-24.6477,1.5974,-21.0756,-64.1775,21.9485,14.6766,26.9754,+
-22.0054,69.761,-55.3909,-47.514,9.1613,-33.6608,15.5325,48.2889,8.6944,+
26.3866,63.0704,-3.5584,-49.1595,31.2965,-77.9418,-42.7257,70.4754,30.6064,+
-114.0562,-60.9333,8.0756,-41.3444,-6.5942,-93.5847,19.3856,51.1259,23.0515,+
76.0773,27.2714,-23.192,-15.3959,41.1579,-53.4081,24.2405,38.3221,-1.9759,+
-33.1426,-36.3051,202.7136,99.8289,100.2213,73.6069,108.5283,76.2578,-83.8688,-
-108.4178,90.1868,-111.2278,-120.9133,21.1117,7.504,60.3009,72.7736,-108.9644,-
55.5094,7.9005,71.6903,185.0965,-37.4414,-6.0625,107.5949,69.2509,-69.5029,-
71.2021,-8.3906,59.3286,-15.8396,-5.4157,47.7574,-2.9533,109.1098,-6.6833,-
220.248,-95.6676,134.8881,-53.8243,-47.0215,27.6254,84.7535,19.2718,-15.9601,-
226.2421,-76.4404,201.2209,-55.3152,-94.9195,31.6937,98.4734,27.1131,-87.8516,-
441.0374,-131.8133,-22.116,-24.7902,-7.4648,-56.4054,107.5009,15.0097,-53.4499,-
323.8716,-44.8235,100.2651,-0.38576,-101.7627,100.219,57.6702,54.2125,-49.1022,-
452.3975,-61.2849,26.0434,-16.677,39.9626,22.0319,79.3412,100.6874,-59.0671,-
536.9425,122.4263,80.0762,43.5367,-40.9217,33.5082,-12.0198,66.4358,-67.6863,-
398.4809,266.6651,61.8108,114.7945,-72.3484,-34.5259,93.8608,89.6509,-69.383,-
429.5184,116.2514,46.9024,-12.3867,-9.9675,-9.4177,125.4124,115.2002,-47.8924,-
