ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action 1,ALX,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0,0,0,0,0,0,0,0,0,0
Action 1,ALY,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,-0.2363281,0,0,0,0,0,0,0,0,0,0
Action 1,ALZ,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0.1142578,0,0,0,0,0,0,0,0,0,0
Action 1,ARX,0.8779297,0.8701172,0.8793945,0.8740234,0.8618164,0.8686523,1.405762,1.313477,0.09033203,-0.5488281,-0.3828125,-0.2280273,-0.008300781,0.02880859,-0.4291992,-0.9560547,-0.6660156,-0.6000977,-0.1655273,-0.7963867,-0.8188477,-0.3510742,-0.1357422,-0.2788086,-0.144043,0.06396484,0.8066406,1.166504,1.095215,1.00293,0.9428711,0.9370117,0.8178711,0.8789063,0.8969727,0.9375,0.9140625,0.8706055,0.8608398,0.890625,0.8842773,0.8632813,0.8828125,0.8833008,0.8696289,0,0,0,0,0,0,0,0,0,0
Action 1,ARY,0.4101563,0.4086914,0.4121094,0.40625,0.4077148,0.4179688,0.7143555,0.8686523,1.098633,0.8168945,0.9384766,0.5209961,0.4790039,0.4619141,0.7348633,1.239746,0.7143555,0.4111328,0.4946289,0.840332,0.8676758,0.5639648,0.6791992,0.847168,0.9672852,0.8105469,0.9277344,0.5766602,0.9199219,0.8017578,0.6845703,0.421875,0.3642578,0.3510742,0.3359375,0.3867188,0.3730469,0.3632813,0.3813477,0.3901367,0.3725586,0.3911133,0.4072266,0.3925781,0.4165039,0,0,0,0,0,0,0,0,0,0
Action 1,ARZ,0.1699219,0.1674805,0.1674805,0.1630859,0.1743164,0.1694336,0.1030273,0.5180664,0.4609375,0.3671875,0.3886719,0.3046875,0.1210938,-0.1938477,-0.2700195,-0.3686523,-0.534668,-0.4350586,-0.2792969,-0.2695313,-0.3120117,-0.2988281,0.07910156,0.2841797,0.3520508,0.3754883,0.2348633,0.3295898,0.1367188,0.1767578,0.1669922,0.2192383,0.199707,0.1816406,0.1640625,0.152832,0.1630859,0.1831055,0.1953125,0.1582031,0.1806641,0.2021484,0.1972656,0.1914063,0.1748047,0,0,0,0,0,0,0,0,0,0
Action 1,EMG0L,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Action 1,EMG1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 1,EMG2L,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
Action 1,EMG3L,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
