ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action46,ARY,-0.315918,-0.3129883,-0.3173828,-0.315918,-0.3110352,-0.3164063,-0.3125,-0.3286133,-0.3359375,-0.3168945,-0.3212891,-0.3398438,-0.3330078,-0.3149414,-0.3149414,-0.3266602,-0.309082,-0.3032227,-0.3242188,-0.3486328,-0.3017578,-0.3603516,-0.34375,-0.3271484,-0.3149414,-0.3173828,-0.3364258,-0.2719727,-0.284668,-0.3623047,-0.3100586,-0.3051758,-0.3125,-0.2983398,-0.3046875,-0.3134766,-0.3198242,-0.3198242,-0.3432617,-0.324707,-0.3256836,-0.3129883,-0.3041992,-0.3295898,-0.3364258,0,0,0,0,0,0,0,0,0,0
Action46,ARZ,0.1298828,0.1259766,0.1274414,0.121582,0.1210938,0.1357422,0.1289063,0.1245117,0.1235352,0.1225586,0.128418,0.1298828,0.1176758,0.1357422,0.1357422,0.1357422,0.1347656,0.125,0.1298828,0.09082031,0.1137695,0.1391602,0.1289063,0.1323242,0.1279297,0.1210938,0.1196289,0.09814453,0.1479492,0.1762695,0.1254883,0.1010742,0.1132813,0.1166992,0.1357422,0.1206055,0.1108398,0.1108398,0.1445313,0.1259766,0.1074219,0.105957,0.1147461,0.128418,0.1567383,0,0,0,0,0,0,0,0,0,0
Action46,EMG0L,-1,-1,1,2,-1,-1,-2,0,-1,2,17,-1,4,-3,24,0,0,9,-3,-13,9,0,-2,-11,-4,-21,-2,0,1,-6,-6,-2,-11,-5,-18,-5,-2,6,-3,1,-3,1,15,-1,-2,0,0,0,0,0,0,0,0,0,0
Action46,EMG1L,-1,-1,-1,-3,-1,0,-2,1,-2,-6,-32,26,-2,-11,-4,-5,1,8,18,0,-1,-16,-10,-8,-1,-30,8,-5,-4,4,5,4,-8,-9,-7,-6,-6,1,1,-6,-4,2,5,-13,6,0,0,0,0,0,0,0,0,0,0
Action46,EMG2L,-1,0,1,-1,-1,1,0,0,0,-2,-13,6,19,-9,-7,-4,-1,-3,-1,-7,-7,-8,-8,3,-15,-81,62,5,-6,5,12,6,-9,-14,-5,-5,-3,3,-3,-1,-3,6,4,-4,1,0,0,0,0,0,0,0,0,0,0
Action46,EMG3L,0,1,-2,0,-1,-1,-1,-2,-2,-1,-4,-6,11,-2,0,-6,-2,-1,-1,-4,-3,-5,-7,1,-5,-43,28,12,-7,7,4,-3,-7,-8,-1,-3,-1,2,-4,3,0,3,6,-2,-1,0,0,0,0,0,0,0,0,0,0
Action46,EMG4L,0,-2,0,0,-2,-1,0,-2,1,1,-3,-1,1,5,1,-10,7,-20,-9,-2,4,0,-7,-1,-1,-22,9,3,-6,12,9,0,-2,-11,-5,1,-1,2,-3,3,-3,3,3,-2,1,0,0,0,0,0,0,0,0,0,0
Action46,EMG5L,-1,0,-1,0,-1,-1,-1,-1,-1,2,-1,-2,-3,0,-2,-5,2,15,17,-2,2,9,-42,-1,-12,-9,-6,7,3,17,7,1,-6,5,-5,2,-3,11,-3,1,-1,-2,0,-2,1,0,0,0,0,0,0,0,0,0,0
Action46,EMG6L,-2,0,0,-1,0,0,-2,0,0,0,-4,-3,-2,-1,3,13,1,-15,30,-6,5,3,-9,-2,2,4,50,-13,-16,-2,2,0,6,-1,1,4,-1,-6,-1,-4,1,-6,-9,0,0,0,0,0,0,0,0,0,0,0,0
Action46,EMG7L,-2,0,0,-2,1,0,0,3,1,-1,-25,3,-2,4,35,-7,4,26,-13,9,46,6,11,-4,-8,11,-4,-18,-2,-6,-14,-1,12,8,2,-5,-10,-29,71,-36,-5,-4,-1,4,-4,0,0,0,0,0,0,0,0,0,0
Action46,EMG0R,-2,0,-2,1,-4,-3,0,-3,1,-1,-1,-1,-2,-1,-1,-2,-2,-1,0,-1,1,-1,-3,-1,-2,1,-1,-2,0,-1,0,-3,-2,-1,-2,1,-2,-1,0,0,-2,-1,1,0,-3,0,0,0,0,0,0,0,0,0,0
Action46,EMG1R,0,-1,-2,0,0,-1,0,-3,0,0,-1,-1,0,-1,-1,-1,-2,-1,1,-1,-2,0,-3,-3,-1,-1,-2,-2,-1,-1,0,-2,-2,2,-1,-1,-2,-2,-1,0,-3,0,-2,-1,-1,0,0,0,0,0,0,0,0,0,0
Action46,EMG2R,-1,-2,-2,-2,-1,-1,-2,-2,-1,-2,-4,0,-1,-2,0,0,-1,-2,0,-1,-1,-1,0,-2,-1,-1,-2,-2,0,-1,-1,0,-2,-1,-2,-1,0,-1,-1,0,-2,-2,-1,0,-3,0,0,0,0,0,0,0,0,0,0
Action46,EMG3R,-1,-1,1,-2,-2,-2,-2,-1,-3,-1,1,-1,-2,-1,0,1,0,0,-1,-2,-2,1,-1,-1,-1,-1,-1,0,0,-3,-3,-2,1,-1,1,-2,-2,0,-2,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action46,EMG4R,-1,0,-1,0,-1,-2,-1,0,-1,-2,0,-1,-3,-2,-1,-2,-1,-2,0,-1,-3,-2,-2,-2,0,-3,-2,1,-4,0,-1,0,0,-3,-3,-1,-2,-1,0,-2,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Action46,EMG5R,-1,-2,-2,-2,-1,2,0,0,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-3,-3,-2,-3,0,-1,0,-2,-3,2,-2,-2,-1,0,1,-1,0,-2,-4,-2,-1,-1,-1,0,-3,-1,-3,0,0,0,0,0,0,0,0,0,0
