ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44
Action17,ARX,-0.8686523,-0.7294922,-0.4838867,-0.2802734,-0.152832,-0.4262695,-0.199707,-0.3764648,-0.3408203,-0.5053711,-0.7768555,-0.7573242,-0.6767578,-0.8955078,-0.9545898,-0.8251953,-0.8173828,-0.8095703,-0.7905273,-0.7958984,-0.8369141,-0.8984375,-0.9311523,-0.9584961,-0.9941406,-0.9848633,-1.02002,-0.9829102,-1,-1.01123,-0.984375,-0.9975586,-1,-1.000977,-1,-0.9970703,-1.008301,-0.996582,-0.9985352,-1.007324,-0.9956055,-1.008789,-0.9931641,-1
Action17,ARY,-0.3608398,-0.3432617,-0.2265625,-0.2578125,-0.3486328,-0.355957,-0.4023438,-0.3759766,-0.2714844,-0.3994141,-0.4726563,-0.6103516,-0.5322266,-0.5014648,-0.4931641,-0.4575195,-0.4765625,-0.4321289,-0.4077148,-0.4199219,-0.3574219,-0.2885742,-0.3823242,-0.3876953,-0.3745117,-0.324707,-0.3295898,-0.2709961,-0.2871094,-0.2543945,-0.2265625,-0.203125,-0.2475586,-0.2075195,-0.2099609,-0.2167969,-0.2177734,-0.2089844,-0.2109375,-0.206543,-0.2202148,-0.2016602,-0.2080078,-0.2172852
Action17,ARZ,0.6704102,0.6337891,0.4824219,0.4990234,0.7128906,0.7319336,1.144043,0.7246094,0.887207,0.8310547,0.8349609,0.7373047,0.5839844,0.6352539,0.5419922,0.5439453,0.5551758,0.4990234,0.4433594,0.3710938,0.359375,0.3662109,0.3544922,0.2539063,0.2319336,0.1757813,0.08691406,-0.002929688,0.02148438,0.005371094,0.03076172,0.0234375,0.009765625,0.002441406,-0.001464844,-0.01123047,0.0009765625,0.02148438,0.002929688,0.009277344,0.006835938,0.001464844,-0.005371094,-0.009765625
Action17,EMG0L,-1,-2,-3,-2,-2,2,16,6,2,-9,0,0,10,-24,-3,59,-14,-2,-3,-1,1,-3,5,-2,-2,-1,-2,-2,-6,-15,17,-69,29,-2,-18,32,-23,-54,-12,3,-38,-13,5,-38
Action17,EMG1L,-2,0,0,-2,0,7,20,2,-5,-6,-2,-1,-2,-16,-3,14,2,-2,-1,0,2,-3,10,-3,0,-2,-1,-1,-5,-4,3,5,8,0,-11,-6,-5,-11,-5,-1,1,-4,2,-8
Action17,EMG2L,-2,-1,-1,-1,-3,2,32,5,-10,-1,-4,5,-6,-5,-1,6,3,1,-1,1,4,0,22,-3,1,-1,-2,-1,-5,-3,-1,4,9,-3,-8,-3,-2,-7,-5,-3,1,-3,3,-2
Action17,EMG3L,-1,-2,-1,-1,-2,-5,52,3,-21,6,-2,-3,-11,8,-9,10,24,2,2,5,-1,0,26,-6,0,1,0,1,-4,-3,-1,2,3,-4,-5,-2,-3,-4,-7,-3,0,-2,1,-1
Action17,EMG4L,0,-1,0,-2,-1,1,40,-12,-1,-2,-6,5,3,-8,-8,3,5,-2,0,6,4,-5,12,-4,-1,-1,-1,-1,-8,-2,-2,4,4,-6,-4,-2,-1,-2,-4,-2,-1,1,1,1
Action17,EMG5L,-1,0,-2,-1,-3,4,29,-7,3,-2,-1,1,-1,-12,-1,9,2,0,0,3,2,-3,4,-4,0,-1,-2,0,-8,-3,-1,5,5,-3,-2,-4,-1,-1,-6,-2,2,4,0,6
Action17,EMG6L,0,-1,-1,-1,-1,5,19,1,1,2,0,-3,-3,-12,6,3,2,5,-2,0,1,-3,2,-2,0,-2,-2,-1,-13,-2,2,5,5,-7,0,-4,1,-5,-14,-2,3,12,-1,11
