ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action39,ARZ,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0.1152344,0,0,0,0,0,0,0,0,0,0
Action39,EMG0L,3,-47,19,-26,-21,24,-7,21,18,5,28,-10,-11,-40,78,-15,51,-1,69,19,-42,13,0,-15,-12,30,-7,-87,-14,0,16,0,-10,-19,7,-10,-1,18,-3,-6,11,-33,15,-10,-23,0,0,0,0,0,0,0,0,0,0
Action39,EMG1L,1,-3,4,-2,-9,8,7,-25,-20,-36,-11,4,-9,-30,-22,-4,-9,10,52,10,8,32,10,-30,-15,-9,-5,-7,-46,7,13,-12,10,-21,-12,-2,6,1,-1,-1,4,-1,-3,-4,1,0,0,0,0,0,0,0,0,0,0
Action39,EMG2L,-3,0,-3,-6,-3,-2,-8,-20,-60,29,-19,0,-1,-12,-5,-1,-2,-14,14,8,15,1,-9,-6,-9,-1,2,2,-11,0,-2,5,8,0,-10,2,13,0,-1,-1,2,-1,-2,-2,0,0,0,0,0,0,0,0,0,0,0
Action39,EMG3L,-1,-3,-2,-6,0,-25,31,-9,-6,30,79,-27,2,-6,12,-12,28,-11,2,10,5,-3,-3,-3,1,0,2,-3,-9,1,-1,2,6,4,-6,4,64,-5,-2,0,2,-1,-2,0,-3,0,0,0,0,0,0,0,0,0,0
Action39,EMG4L,1,-1,-3,0,-1,3,-9,1,11,7,13,-12,-5,5,-27,-33,7,-7,1,-3,-21,-3,4,-14,6,9,3,0,-3,-1,0,0,9,4,-2,-20,-3,0,0,1,1,-1,-4,-2,-2,0,0,0,0,0,0,0,0,0,0
Action39,EMG5L,-2,0,-19,-31,-2,33,2,47,11,-33,34,3,-70,9,12,-55,52,32,-12,7,-68,81,5,-3,-8,-5,-22,-52,21,-26,3,2,-16,6,-20,2,-40,7,16,14,12,-3,-26,-11,-22,0,0,0,0,0,0,0,0,0,0
Action39,EMG6L,-2,-2,0,-1,-1,-3,-4,-10,-10,2,17,-15,-5,-9,-8,-22,-15,-1,-2,-17,-5,25,-9,-2,1,-1,5,8,4,-7,-9,-1,10,-5,1,0,4,-2,-1,-1,-2,1,-6,3,1,0,0,0,0,0,0,0,0,0,0
Action39,EMG7L,-4,-6,2,-2,-3,5,8,2,-16,2,17,-26,13,-28,11,7,21,-9,0,2,4,7,8,-21,3,6,-1,-2,-8,-8,-7,4,5,-6,7,1,1,-4,0,0,1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
Action39,EMG0R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action39,EMG1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action39,EMG2R,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0
Action39,EMG3R,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
Action39,EMG4R,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
Action39,EMG5R,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Action39,EMG6R,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
Action39,EMG7R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action39,GLX,3.0625,0.125,1.75,-0.5625,8.5625,11.4375,-5.625,-4.875,2.8125,9.9375,42.625,65.5,81.5625,53.375,49.375,17.125,7.75,4.6875,-10.1875,6.125,6.125,19.375,-1.8125,14.9375,14.9375,-19,-37.5,-40.875,-50.375,-59.75,-67.125,-38.375,-77.75,-2.0625,-7.5,-9.125,-25.0625,6.8125,-20.3125,-26.125,-7.9375,-16.6875,1.8125,4.375,5.3125,0,0,0,0,0,0,0,0,0,0
Action39,GLY,3.0625,0.125,1.75,-0.5625,8.5625,11.4375,-5.625,-4.875,2.8125,9.9375,42.625,65.5,81.5625,53.375,49.375,17.125,7.75,4.6875,-10.1875,6.125,6.125,19.375,-1.8125,14.9375,14.9375,-19,-37.5,-40.875,-50.375,-59.75,-67.125,-38.375,-77.75,-2.0625,-7.5,-9.125,-25.0625,6.8125,-20.3125,-26.125,-7.9375,-16.6875,1.8125,4.375,5.3125,0,0,0,0,0,0,0,0,0,0
