ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action74,OPL,2.911221,2.91179,2.91179,2.911287,2.910131,2.909479,2.945791,3.077302,3.33796,3.679565,4.159272,4.467994,4.668097,4.647108,4.626179,4.615768,4.594252,4.532407,4.549089,4.650623,4.700076,4.725881,4.720279,4.714499,4.714581,4.755977,4.781558,4.764028,4.738589,4.705756,4.693792,4.622091,4.469593,4.232938,3.806066,3.479929,3.163968,3.020617,2.960211,2.927723,2.926022,2.919297,2.919853,2.92207,2.927192,0,0,0,0,0,0,0,0,0,0
Action74,OYL,1.40151,1.404855,1.404855,1.405627,1.405146,1.405692,1.41589,1.693215,1.851847,1.904498,1.905909,1.92195,2.005646,2.076813,2.113668,2.133516,2.159913,2.169802,2.126461,2.103122,2.090774,2.086606,2.091346,2.101461,2.109048,2.111271,2.110417,2.102174,2.097155,2.097409,2.107497,2.122573,2.134118,2.136381,2.139529,2.042304,1.677712,1.29751,1.096938,1.132869,1.160982,1.162626,1.164994,1.195245,1.230238,0,0,0,0,0,0,0,0,0,0
Action74,ORR,3.117832,3.116973,3.115363,3.113862,3.112677,3.109187,3.109187,3.114377,3.123086,3.121814,3.113981,3.113559,3.123703,3.14922,3.170124,3.186272,3.19166,3.182717,3.168565,3.15891,3.148823,3.134473,3.128513,3.132206,3.140181,3.139727,3.14209,3.144218,3.141984,3.139809,3.136312,3.129612,3.130283,3.136523,3.154382,3.182536,3.192609,3.170427,3.148949,3.123368,3.102278,3.078053,3.101992,3.129424,3.139481,0,0,0,0,0,0,0,0,0,0
Action74,OPR,3.062582,3.06277,3.062201,3.061594,3.061374,3.059943,3.059943,3.063086,3.068098,3.068512,3.063539,3.06132,3.066613,3.076772,3.083355,3.086743,3.087419,3.081885,3.079095,3.080847,3.087782,3.090245,3.092558,3.096931,3.09901,3.097038,3.091469,3.087189,3.083059,3.079334,3.077272,3.075972,3.075052,3.075698,3.077044,3.081625,3.084723,3.087305,3.08318,3.075713,3.067302,3.058608,3.057743,3.061987,3.065862,0,0,0,0,0,0,0,0,0,0
Action74,OYR,1.37618,1.376404,1.376198,1.375719,1.376114,1.376656,1.376656,1.383478,1.387515,1.385719,1.387278,1.377857,1.35555,1.334453,1.333407,1.336295,1.335198,1.357598,1.383037,1.397065,1.409151,1.41848,1.422596,1.410948,1.402355,1.401505,1.396037,1.392811,1.395834,1.399089,1.405338,1.414016,1.40832,1.401518,1.38966,1.369176,1.35853,1.371044,1.38625,1.404006,1.414649,1.436259,1.454501,1.447861,1.438324,0,0,0,0,0,0,0,0,0,0
Action75,ALX,0.9345703,0.9448242,0.9448242,0.9399414,0.9453125,0.9477539,0.9394531,1.022949,1.073242,0.9208984,0.6889648,0.4570313,0.4082031,0.2915039,0.3242188,0.3583984,0.2744141,0.2475586,0.3017578,-0.01074219,0.612793,-0.02197266,-0.006835938,-0.05615234,-0.01660156,0.04150391,-0.02001953,-0.3662109,0.02832031,-0.5795898,0.2202148,0.597168,0.06640625,0.1811523,0.4125977,0.7353516,1.068359,1.017578,1.050293,0.9868164,0.9169922,0.894043,0.909668,0.9208984,0.9526367,0,0,0,0,0,0,0,0,0,0
Action75,ALY,0.25,0.2426758,0.2509766,0.2421875,0.2397461,0.2436523,0.2402344,0.3632813,0.3671875,0.5043945,0.5439453,0.6376953,0.84375,0.5947266,0.5991211,0.7441406,0.746582,0.9282227,0.824707,0.7089844,1.364258,0.8222656,0.8227539,0.7685547,0.8115234,0.8569336,0.8920898,0.8378906,0.9570313,0.7763672,1.067871,1.068359,0.6362305,0.5854492,0.6176758,0.3173828,0.6542969,0.375,0.5820313,0.4116211,0.3833008,0.3813477,0.2973633,0.296875,0.284668,0,0,0,0,0,0,0,0,0,0
Action75,ALZ,0.07080078,0.07275391,0.0703125,0.07373047,0.07128906,0.06884766,0.0625,-0.06054688,0.1708984,0.5117188,0.6152344,0.5639648,0.5449219,0.5288086,0.3979492,0.3852539,0.4052734,0.3828125,0.4013672,0.3691406,0.5766602,0.4692383,0.4790039,0.4975586,0.5166016,0.565918,0.5332031,0.3901367,0.2993164,0.1865234,0.4873047,1.047852,0.5556641,0.3798828,0.4418945,0.4921875,0.2963867,0.1054688,0.03515625,0.04882813,0.09179688,0.128418,0.152832,0.1108398,0.06884766,0,0,0,0,0,0,0,0,0,0
Action75,ARX,0.9399414,0.9399414,0.9418945,0.9360352,0.9404297,0.9399414,0.9404297,0.9438477,0.9438477,0.9545898,0.9082031,0.9174805,0.949707,0.9345703,0.9360352,0.9296875,0.9423828,0.9404297,0.9296875,0.9355469,0.9433594,0.9482422,0.9106445,0.9311523,0.9394531,0.9360352,0.9379883,0.9248047,0.9291992,0.9335938,0.9267578,0.9365234,0.9326172,0.9140625,0.9384766,0.9541016,0.9384766,0.9443359,0.9199219,0.9296875,0.9272461,0.9355469,0.9536133,0.9453125,0.9384766,0,0,0,0,0,0,0,0,0,0
Action75,ARY,-0.3134766,-0.3076172,-0.3085938,-0.3188477,-0.3178711,-0.3095703,-0.3061523,-0.3085938,-0.3383789,-0.3154297,-0.3149414,-0.3168945,-0.3115234,-0.309082,-0.3041992,-0.3081055,-0.3046875,-0.3193359,-0.3261719,-0.3535156,-0.3457031,-0.3212891,-0.3168945,-0.3061523,-0.328125,-0.3129883,-0.3198242,-0.3237305,-0.3261719,-0.3286133,-0.3344727,-0.324707,-0.3144531,-0.3183594,-0.3295898,-0.3129883,-0.3217773,-0.3300781,-0.3208008,-0.3203125,-0.3310547,-0.3178711,-0.3115234,-0.3144531,-0.3037109,0,0,0,0,0,0,0,0,0,0
