ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85
Action 91,ALY,0.28125,0.2739258,0.2792969,0.28125,0.2783203,0.2944336,0.2832031,0.293457,0.2861328,0.2915039,0.2832031,0.2700195,0.2924805,0.28125,0.284668,0.2773438,0.277832,0.2875977,0.2822266,0.2792969,0.2900391,0.2783203,0.2822266,0.2915039,0.2792969,0.2861328,0.2954102,0.2944336,0.2792969,0.2905273,0.2563477,0.3212891,0.2939453,0.2514648,0.2758789,0.3930664,0.3330078,0.3574219,0.4165039,0.3833008,0.4609375,0.4199219,0.5283203,0.4848633,0.4550781,0.5825195,0.5844727,0.5976563,0.5703125,0.621582,0.6000977,0.6054688,0.5727539,0.6367188,0.5800781,0.6152344,0.6645508,0.7016602,0.7050781,0.6621094,0.6142578,0.5664063,0.4926758,0.3730469,0.3745117,0.7910156,0.5996094,0.7573242,0.5634766,0.5507813,0.5444336,0.5112305,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,ALZ,0.1337891,0.1303711,0.140625,0.1245117,0.1367188,0.1357422,0.1416016,0.1328125,0.1342773,0.1308594,0.1279297,0.1342773,0.1513672,0.1455078,0.1381836,0.1420898,0.1425781,0.1499023,0.137207,0.1572266,0.1538086,0.1445313,0.1411133,0.1513672,0.1557617,0.1474609,0.1503906,0.1577148,0.1591797,0.1572266,0.1767578,0.1572266,0.1572266,0.1826172,0.2001953,0.1743164,0.2324219,0.2539063,0.2797852,0.3188477,0.3310547,0.3901367,0.4160156,0.5048828,0.5234375,0.5454102,0.6274414,0.6064453,0.6499023,0.6689453,0.7021484,0.684082,0.6938477,0.7016602,0.7304688,0.7158203,0.7280273,0.7573242,0.7250977,0.7285156,0.7050781,0.6811523,0.6318359,0.3320313,0.5644531,0.5488281,0.8100586,0.6313477,0.5102539,0.480957,0.5039063,0.5131836,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,ARX,0.9604492,0.9526367,0.9545898,0.9599609,0.9575195,0.9511719,0.9521484,0.956543,0.9663086,0.9799805,0.949707,0.9516602,0.9545898,0.9541016,0.9526367,0.9570313,0.9550781,0.9589844,0.9560547,0.956543,0.9560547,0.9604492,0.9619141,0.9550781,0.9506836,0.9580078,0.9584961,0.9604492,0.9526367,0.9545898,0.96875,0.972168,0.996582,0.996582,0.953125,0.9624023,0.9472656,0.9511719,0.9238281,0.9018555,0.8574219,0.8432617,0.7807617,0.765625,0.7158203,0.6357422,0.6083984,0.5507813,0.46875,0.4194336,0.3461914,0.3037109,0.2910156,0.2397461,0.2192383,0.2211914,0.2568359,0.2514648,0.2260742,0.2348633,0.237793,0.2104492,0.1889648,0.2177734,0.4960938,1.999512,0.9482422,0.6123047,0.5415039,0.7363281,0.7880859,0.7089844,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,ARY,-0.2397461,-0.2617188,-0.2436523,-0.2651367,-0.2568359,-0.2607422,-0.253418,-0.2626953,-0.2475586,-0.2509766,-0.2563477,-0.2446289,-0.2573242,-0.2470703,-0.2514648,-0.2543945,-0.2592773,-0.2539063,-0.262207,-0.253418,-0.2573242,-0.2456055,-0.2661133,-0.2451172,-0.25,-0.2553711,-0.2583008,-0.2392578,-0.2563477,-0.2558594,-0.2504883,-0.2451172,-0.2607422,-0.2661133,-0.2939453,-0.2299805,-0.3818359,-0.4174805,-0.3359375,-0.3837891,-0.5317383,-0.5419922,-0.5039063,-0.5385742,-0.5649414,-0.6259766,-0.5800781,-0.6455078,-0.6572266,-0.6391602,-0.6689453,-0.6572266,-0.6347656,-0.6865234,-0.6425781,-0.7177734,-0.684082,-0.7041016,-0.6967773,-0.6757813,-0.6904297,-0.6005859,-0.5693359,-0.2617188,-1.102539,-0.4213867,-0.7641602,-0.5615234,-0.5595703,-0.5576172,-0.4658203,-0.4951172,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,ARZ,0.1064453,0.09326172,0.1005859,0.1010742,0.1171875,0.1005859,0.1162109,0.1220703,0.09912109,0.1054688,0.09863281,0.1025391,0.1040039,0.112793,0.09814453,0.1054688,0.09326172,0.1118164,0.1157227,0.109375,0.09033203,0.1118164,0.09765625,0.09814453,0.09960938,0.1054688,0.1074219,0.09960938,0.09619141,0.1181641,0.09960938,0.09960938,0.1206055,0.1489258,0.1542969,0.1782227,0.2133789,0.2163086,0.2871094,0.2807617,0.347168,0.3588867,0.3867188,0.4536133,0.4814453,0.5415039,0.5517578,0.5766602,0.574707,0.5839844,0.59375,0.5644531,0.5625,0.6123047,0.6123047,0.6425781,0.6533203,0.6445313,0.652832,0.6479492,0.6000977,0.5351563,0.4760742,0.4067383,0.5244141,0.6723633,0.5917969,0.4428711,0.5009766,0.4272461,0.3647461,0.4467773,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG0L,-1,0,-1,-2,0,0,0,-1,0,-2,-2,2,-1,0,-1,0,-2,0,-1,-1,-2,1,-2,-1,-4,0,-1,-1,4,0,-2,-1,-1,-1,-8,7,4,6,5,0,-21,-1,-2,-83,52,-1,30,-49,-22,13,-39,57,42,19,-4,11,3,-27,26,11,-40,-45,-3,15,-38,41,19,4,1,-5,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG1L,-2,-1,-3,1,-1,-1,-2,0,-3,0,-1,-2,-1,0,-1,-1,0,-1,1,-1,0,-1,-1,-1,-2,-2,-3,-2,-3,-8,-1,-2,12,1,3,-3,-1,-9,10,-8,-75,2,2,16,6,-12,4,6,19,-42,3,-8,2,9,-5,10,8,-23,-1,12,16,-13,14,-1,10,55,-16,38,-26,14,-15,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG2L,-3,-3,-1,2,-2,-1,-2,-2,-2,-3,-1,-2,0,1,2,-1,-1,0,0,-1,-4,0,-2,1,0,-1,-1,-1,-1,-6,1,0,-4,-4,-1,-4,1,-3,-1,-3,-24,3,-28,-7,13,-19,16,-4,4,16,0,-17,-15,-16,28,21,-12,-7,4,-19,14,-7,-19,-3,16,0,39,16,15,1,-17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG3L,-3,0,-1,-1,-1,-2,1,-2,-1,0,-1,-3,1,-1,0,1,-1,1,-1,-1,-2,2,0,-2,0,-1,-2,0,-2,-2,0,0,6,-2,2,-3,-4,-2,-7,-5,-23,79,-20,42,-22,-19,-9,-18,-23,15,-9,-25,-6,13,4,-35,41,23,-7,9,-43,29,-8,-56,-128,-71,113,-63,2,13,19,-32,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG4L,0,-2,-1,-1,1,-1,0,-2,-1,-1,-2,-1,0,0,0,0,-1,-1,-1,-1,0,-1,-4,1,-1,0,-2,-1,-2,1,0,0,1,-2,2,-1,-4,2,3,4,-10,-12,-7,-6,6,-15,-62,-4,23,-15,-6,1,4,-14,13,-20,-3,1,30,13,7,25,16,31,31,23,17,10,35,-18,-24,30,0,0,0,0,0,0,0,0,0,0,0,0,0
