ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85
Action 25,EMG3L,-2,1,-1,-1,0,0,-1,-1,-2,-1,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG4L,-1,0,-2,-1,-1,-1,-2,-1,-1,-2,-3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG5L,-2,0,-1,-2,-1,-1,-2,0,-1,-1,-1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG6L,0,0,-1,-1,-1,-2,-1,-2,-1,-2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG7L,-2,1,-2,-2,-2,1,-1,0,1,-1,-2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG0R,1,-4,4,1,3,0,-19,-9,-38,2,-9,-12,-15,-6,-7,5,-8,-2,-5,-7,5,0,3,7,-1,-12,-2,0,2,-35,0,-2,2,-10,19,-10,-15,9,6,6,10,-4,10,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG1R,1,-3,3,0,2,9,-47,-21,-55,1,-13,1,-9,0,-17,-4,-12,-8,-1,-7,1,-1,3,6,1,-23,-3,1,3,-49,6,-4,1,-6,11,-4,-12,12,4,3,7,-5,8,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG2R,-1,-2,-1,-1,-1,44,-9,-35,-54,-1,-4,5,-20,8,-23,11,-21,-21,-6,5,-2,2,9,8,6,-38,-8,0,2,-29,-1,-3,2,-1,4,-1,-4,6,0,-1,3,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG3R,0,-2,-2,-1,-1,46,16,61,0,-28,17,12,-33,32,-14,52,-74,-39,-9,48,7,5,13,2,21,-54,-7,1,12,-19,-14,3,4,6,7,-2,-3,3,2,4,0,0,1,-6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG4R,0,-2,1,-2,-6,5,-61,-17,-53,6,-21,9,-20,21,-25,28,-37,-19,-5,7,11,-1,2,3,12,-38,-5,-2,0,-18,-5,-2,3,0,0,-1,-2,0,-6,1,0,2,1,-2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG5R,0,-1,-1,-2,-7,7,-40,-13,-34,-5,-7,3,-19,6,-14,9,-18,-5,-4,-2,2,3,2,1,4,-24,-4,-2,-1,-23,-13,-8,0,0,-2,-2,-5,0,-5,0,-3,-14,-8,3,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG6R,2,-2,1,-1,-18,18,-37,-4,-26,-9,-2,-9,-11,17,-8,-1,-6,-1,-2,-12,-1,-4,4,4,1,-5,-21,6,-22,-32,-33,-7,-4,-1,-11,-26,-1,-3,31,-5,-29,-10,-49,43,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,EMG7R,0,-1,5,-1,12,2,-25,-10,-29,-3,-3,-5,-9,-10,-2,-3,-6,-1,-3,-6,2,-1,1,4,0,-10,-6,0,15,-20,-21,0,-1,-13,12,8,-18,5,-5,4,33,9,23,-2,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,GLX,0.4375,-1.75,-0.75,-2.625,-3.9375,-3.0625,-11.0625,-11.6875,0.3125,10.6875,-2.375,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,GLY,0.4375,-1.75,-0.75,-2.625,-3.9375,-3.0625,-11.0625,-11.6875,0.3125,10.6875,-2.375,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,GLZ,0.4375,-1.75,-0.75,-2.625,-3.9375,-3.0625,-11.0625,-11.6875,0.3125,10.6875,-2.375,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,GRX,5.5,1.0625,-1.6875,-3.8125,-3.4375,-16.875,-11.625,-125.25,-92,-88.0625,-13.125,-3.8125,-0.8125,-22.25,23.625,64.1875,92.1875,87.9375,92.75,64.875,28.1875,20.75,23.625,17.125,-14.75,-32.0625,-40,-50.125,-40.5625,-54,-58.0625,-23.9375,-3.125,5.125,-7.125,-3.8125,1.875,1.4375,-0.375,1.5625,9.5625,-2.375,-2.3125,2.1875,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,GRY,5.5,1.0625,-1.6875,-3.8125,-3.4375,-16.875,-11.625,-125.25,-92,-88.0625,-13.125,-3.8125,-0.8125,-22.25,23.625,64.1875,92.1875,87.9375,92.75,64.875,28.1875,20.75,23.625,17.125,-14.75,-32.0625,-40,-50.125,-40.5625,-54,-58.0625,-23.9375,-3.125,5.125,-7.125,-3.8125,1.875,1.4375,-0.375,1.5625,9.5625,-2.375,-2.3125,2.1875,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,GRZ,5.5,1.0625,-1.6875,-3.8125,-3.4375,-16.875,-11.625,-125.25,-92,-88.0625,-13.125,-3.8125,-0.8125,-22.25,23.625,64.1875,92.1875,87.9375,92.75,64.875,28.1875,20.75,23.625,17.125,-14.75,-32.0625,-40,-50.125,-40.5625,-54,-58.0625,-23.9375,-3.125,5.125,-7.125,-3.8125,1.875,1.4375,-0.375,1.5625,9.5625,-2.375,-2.3125,2.1875,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,ORL,8.269249,8.266324,8.266399,8.271967,8.287665,8.298568,8.294601,8.279424,8.268387,8.244184,8.208932,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,8.171022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,OPL,7.154032,7.154609,7.154358,7.155128,7.159339,7.164021,7.17754,7.1833,7.183286,7.173505,7.161526,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,7.151949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,OYL,8.792244,8.791499,8.792174,8.800052,8.823496,8.83821,8.854259,8.858536,8.856686,8.806836,8.767879,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,8.727958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,ORR,2.312264,2.293738,2.283294,2.279471,2.280934,2.225468,2.098612,2.183812,2.649802,3.129716,3.478446,3.608765,3.677272,3.661387,3.624035,3.612813,3.608899,3.564526,3.481076,3.345983,3.20849,3.124048,3.106298,3.062361,2.997224,2.879352,2.80775,2.79565,2.841073,2.76997,2.547669,2.382425,2.366261,2.383317,2.386686,2.377878,2.384023,2.387862,2.386127,2.401773,2.407509,2.400334,2.390946,2.39479,2.393638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,OPR,7.192361,7.191054,7.188078,7.179264,7.167269,7.147463,7.082123,6.983172,6.887604,6.666715,6.274264,6.013678,5.849648,5.813242,5.860421,5.959923,6.089652,6.193667,6.297852,6.426895,6.517488,6.607997,6.73791,6.827003,6.901522,6.962046,6.987608,7.033461,7.049789,7.078006,7.119668,7.143612,7.162357,7.174559,7.175459,7.174347,7.177362,7.179487,7.183031,7.185167,7.183622,7.182608,7.179274,7.176913,7.177637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 25,OYR,4.843781,4.818251,4.809376,4.809892,4.829853,4.789119,4.665827,4.931304,5.618997,6.322897,6.870089,7.089891,7.235887,7.318102,7.274131,7.128061,6.820856,6.52226,6.190096,5.769191,5.505958,5.355965,5.254754,5.174975,5.111935,5.055536,5.059966,5.153194,5.278388,5.297086,5.169685,5.098099,5.085726,5.103736,5.114101,5.114736,5.119969,5.120414,5.119699,5.133394,5.128948,5.115651,5.111724,5.115381,5.110468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
