ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action23,EMG7R,-2,1,-2,1,-1,-1,-2,0,-2,-1,0,-2,1,-2,1,-2,17,-9,-1,-4,-2,0,-2,-2,2,0,-20,3,0,-1,-2,-1,-1,-1,0,-1,-1,3,-12,1,-9,-4,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
Action23,GLX,0.5625,-1.1875,1,-0.25,-0.9375,-0.0625,0.8125,-55.125,142.125,65.125,34.0625,18.625,17.1875,21.25,-39.0625,-13.4375,33.4375,0.9375,-6.5,-37.625,-25.625,7,-0.0625,-2.0625,-4.9375,-10.625,12.3125,-16.6875,1.0625,-30.8125,-1.6875,17.9375,-36.6875,-53.3125,-67.75,-75.75,-63.9375,4.3125,-20.6875,-26.0625,-6.8125,16,13.125,15.3125,3.1875,0,0,0,0,0,0,0,0,0,0
Action23,GLY,0.5625,-1.1875,1,-0.25,-0.9375,-0.0625,0.8125,-55.125,142.125,65.125,34.0625,18.625,17.1875,21.25,-39.0625,-13.4375,33.4375,0.9375,-6.5,-37.625,-25.625,7,-0.0625,-2.0625,-4.9375,-10.625,12.3125,-16.6875,1.0625,-30.8125,-1.6875,17.9375,-36.6875,-53.3125,-67.75,-75.75,-63.9375,4.3125,-20.6875,-26.0625,-6.8125,16,13.125,15.3125,3.1875,0,0,0,0,0,0,0,0,0,0
Action23,GLZ,0.5625,-1.1875,1,-0.25,-0.9375,-0.0625,0.8125,-55.125,142.125,65.125,34.0625,18.625,17.1875,21.25,-39.0625,-13.4375,33.4375,0.9375,-6.5,-37.625,-25.625,7,-0.0625,-2.0625,-4.9375,-10.625,12.3125,-16.6875,1.0625,-30.8125,-1.6875,17.9375,-36.6875,-53.3125,-67.75,-75.75,-63.9375,4.3125,-20.6875,-26.0625,-6.8125,16,13.125,15.3125,3.1875,0,0,0,0,0,0,0,0,0,0
Action23,GRX,0.375,-1.375,-1.625,-0.875,-0.625,-1.625,-2.3125,-0.8125,3.6875,0.1875,-18.1875,-17.25,-18.9375,-1.3125,3.4375,0.5625,-7,18.1875,22,-22.8125,-4.1875,-25.75,9.5625,14.125,-13.25,16.5625,-0.1875,1.25,4.9375,3.375,5.125,2.9375,-2.0625,-3.25,2.0625,5.5,4.9375,-6.5625,-4.375,-3.5,-3.3125,-3.1875,-2.1875,1.3125,1,0,0,0,0,0,0,0,0,0,0
Action23,GRY,0.375,-1.375,-1.625,-0.875,-0.625,-1.625,-2.3125,-0.8125,3.6875,0.1875,-18.1875,-17.25,-18.9375,-1.3125,3.4375,0.5625,-7,18.1875,22,-22.8125,-4.1875,-25.75,9.5625,14.125,-13.25,16.5625,-0.1875,1.25,4.9375,3.375,5.125,2.9375,-2.0625,-3.25,2.0625,5.5,4.9375,-6.5625,-4.375,-3.5,-3.3125,-3.1875,-2.1875,1.3125,1,0,0,0,0,0,0,0,0,0,0
Action23,GRZ,0.375,-1.375,-1.625,-0.875,-0.625,-1.625,-2.3125,-0.8125,3.6875,0.1875,-18.1875,-17.25,-18.9375,-1.3125,3.4375,0.5625,-7,18.1875,22,-22.8125,-4.1875,-25.75,9.5625,14.125,-13.25,16.5625,-0.1875,1.25,4.9375,3.375,5.125,2.9375,-2.0625,-3.25,2.0625,5.5,4.9375,-6.5625,-4.375,-3.5,-3.3125,-3.1875,-2.1875,1.3125,1,0,0,0,0,0,0,0,0,0,0
Action23,ORL,7.060839,7.061573,7.059352,7.056062,7.055549,7.054599,7.057317,6.990306,6.606255,6.391207,6.31497,6.28891,6.31924,6.354748,6.533306,6.673803,6.632491,6.510183,6.437256,6.519778,6.661307,6.610442,6.546156,6.565078,6.545581,6.512806,6.469778,6.434505,6.371188,6.290111,6.305632,6.402369,6.56034,6.982423,7.783384,8.161096,7.892508,7.633754,7.449836,7.418901,7.422249,7.365848,7.28752,7.214739,7.158435,0,0,0,0,0,0,0,0,0,0
Action23,OPL,2.920322,2.920201,2.919914,2.919547,2.918461,2.917873,2.917386,2.938157,3.138909,3.574491,4.1505,4.892448,5.297738,5.514479,5.779568,5.773274,5.680098,5.55578,5.52263,5.669003,5.707688,5.684374,5.702035,5.715936,5.713804,5.69923,5.662166,5.577791,5.408476,5.011128,4.604753,3.977294,3.537706,3.167248,2.989939,2.948351,2.916514,2.90326,2.899,2.885688,2.873658,2.874574,2.887384,2.904392,2.925317,0,0,0,0,0,0,0,0,0,0
Action23,OYL,8.584998,8.581555,8.583529,8.585937,8.584599,8.583323,8.580025,8.618652,9.143078,9.559737,9.785189,9.99048,0.1008117,0.1912839,0.6890255,0.9374498,0.7168448,0.3865036,0.3170609,0.6292975,1.041935,0.941967,0.8994097,0.9226752,0.9055048,0.8650317,0.7926013,0.7053706,0.5673505,0.350878,0.1700134,9.92431,9.635054,9.057876,8.115023,7.548171,7.692727,7.923985,8.08287,8.068604,8.046633,8.117546,8.225891,8.325505,8.399033,0,0,0,0,0,0,0,0,0,0
Action23,ORR,2.999357,2.997006,2.99727,2.997968,2.997615,2.996237,2.994868,2.993026,2.997591,3.003783,2.997969,2.980306,2.946078,2.962763,2.953568,2.951013,2.940261,2.911614,2.96699,2.986677,2.972439,2.920265,2.873531,2.896526,2.932505,2.922625,2.945699,2.980372,2.995186,2.988143,2.977049,2.966124,2.952646,2.944075,2.926406,2.93066,2.94888,2.959035,2.948665,2.947639,2.958983,2.983952,2.990478,2.998161,2.98851,0,0,0,0,0,0,0,0,0,0
Action23,OPR,3.049098,3.049318,3.049356,3.049198,3.049027,3.04834,3.046638,3.04592,3.050659,3.055475,3.057994,3.054577,3.0521,3.059654,3.062687,3.048522,3.041901,3.057245,3.084761,3.085882,3.064936,3.037791,3.035883,3.042826,3.047716,3.049937,3.054647,3.058859,3.056289,3.052099,3.045196,3.040897,3.034882,3.029641,3.027697,3.032924,3.038663,3.039835,3.034796,3.033476,3.038682,3.044641,3.04643,3.046846,3.046047,0,0,0,0,0,0,0,0,0,0
Action23,OYR,3.652694,3.654242,3.652785,3.651803,3.650177,3.649886,3.647327,3.646558,3.650184,3.647213,3.625717,3.624703,3.625819,3.58866,3.601541,3.621623,3.627945,3.668522,3.666441,3.627887,3.629788,3.65437,3.696688,3.699718,3.646768,3.673072,3.666845,3.627747,3.623115,3.635424,3.658206,3.674151,3.689095,3.691996,3.713316,3.715873,3.706179,3.693214,3.69206,3.687762,3.664934,3.636203,3.628299,3.625721,3.635806,0,0,0,0,0,0,0,0,0,0
Action24,ALX,0.9277344,0.9291992,0.9370117,0.9316406,0.934082,0.9331055,0.9360352,0.9926758,1.162109,1.031738,0.7216797,0.05273438,-0.1723633,-0.1225586,0.4467773,-0.6455078,-0.5776367,-0.3745117,-0.3198242,-0.4833984,-0.5273438,-0.3549805,-0.5668945,-0.5561523,-0.5205078,-0.5327148,-0.4902344,-0.4521484,-0.3710938,-0.3442383,-0.1953125,-0.06494141,0.1040039,0.6376953,1.042969,1.333496,1.080566,0.9545898,0.8520508,0.9213867,0.9550781,0.9580078,0.9418945,0.9360352,0.9291992,0,0,0,0,0,0,0,0,0,0
